,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Meghalaya,2966889,3049813.548,3135055.836,3222680.647,3312754.571,3405346.061,3500525.484,3598365.171,3698939.477,3802324.836,3908599.815,4017845.18,4130143.953,4245581.476,4364245.478,4486226.139,4611616.16,4740510.832,4873008.109,5009208.686,5149216.069,5293136.658,5441079.828,5593158.009,5749486.775,5910184.93,6075374.599,6245181.319,6419734.137,6599165.706,6783612.388,6973214.354,7168115.695,7368464.529,7574413.112,7786117.959,8003739.956,8227444.488,8457401.561,8693785.935
Manipur,2855794,2925760.953,2997442.096,3070879.428,3146115.974,3223195.815,3302164.113,3383067.133,3465952.278,3550868.109,3637864.378,3726992.055,3818303.36,3911851.792,4007692.161,4105880.619,4206474.694,4309533.324,4415116.891,4523287.255,4634107.792,4747643.433,4863960.698,4983127.735,5105214.364,5230292.116,5358434.273,5489715.913,5624213.952,5762007.194,5903176.371,6047804.192,6195975.394,6347776.791,6503297.323,6662628.107,6825862.496,6993096.127,7164426.982,7339955.443
Nagaland,1978502,1977354.469,1976207.603,1975061.403,1973915.867,1972770.996,1971626.789,1970483.245,1969340.365,1968198.148,1967056.593,1965915.7,1964775.469,1963635.899,1962496.99,1961358.742,1960221.154,1959084.226,1957947.957,1956812.347,1955677.396,1954543.103,1953409.468,1952276.49,1951144.17,1950012.506,1948881.499,1947751.148,1946621.452,1945492.412,1944364.026,1943236.295,1942109.218,1940982.795,1939857.025,1938731.908,1937607.443,1936483.631,1935360.47,1934237.961
Goa,1458545,1470548.825,1482651.442,1494853.664,1507156.309,1519560.206,1532066.186,1544675.091,1557387.767,1570205.068,1583127.856,1596156.998,1609293.37,1622537.855,1635891.341,1649354.727,1662928.916,1676614.821,1690413.361,1704325.463,1718352.062,1732494.099,1746752.526,1761128.299,1775622.385,1790235.757,1804969.397,1819824.296,1834801.45,1849901.865,1865126.558,1880476.549,1895952.871,1911556.563,1927288.674,1943150.26,1959142.386,1975266.128,1991522.569,2007912.799
Arunachal Pradesh,1383727,1419745.414,1456701.387,1494619.324,1533524.265,1573441.902,1614398.594,1656421.39,1699538.039,1743777.014,1789167.529,1835739.56,1883523.861,1932551.987,1982856.315,2034470.065,2087427.321,2141763.054,2197513.146,2254714.414,2313404.63,2373622.552,2435407.947,2498801.616,2563845.422,2630582.319,2699056.376,2769312.814,2841398.026,2915359.617,2991246.428,3069108.572,3148997.468,3230965.873,3315067.914,3401359.132,3489896.51,3580738.516,3673945.14,3769577.932
Puducherry,1247953,1282995.52,1319022.034,1356060.173,1394138.343,1433285.748,1473532.411,1514909.201,1557447.852,1601180.987,1646142.15,1692365.821,1739887.453,1788743.493,1838971.41,1890609.728,1943698.049,1998277.09,2054388.711,2112075.946,2171383.038,2232355.474,2295040.016,2359484.739,2425739.071,2493853.824,2563881.239,2635875.024,2709890.395,2785984.117,2864214.551,2944641.696,3027327.235,3112334.584,3199728.939,3289577.327,3381948.659,3476913.777,3574545.516,3674918.754
Mizoram,1097206,1122968.397,1149335.695,1176322.097,1203942.14,1232210.701,1261143.008,1290754.646,1321061.565,1352080.091,1383826.932,1416319.188,1449574.362,1483610.368,1518445.54,1554098.641,1590588.877,1627935.904,1666159.839,1705281.272,1745321.276,1786301.42,1828243.777,1871170.941,1915106.035,1960072.725,2006095.232,2053198.348,2101407.445,2150748.492,2201248.067,2252933.371,2305832.247,2359973.188,2415385.359,2472098.607,2530143.482,2589551.251,2650353.915,2712584.224
Chandigarh,1055450,1073593.186,1092048.252,1110820.562,1129915.567,1149338.816,1169095.95,1189192.71,1209634.932,1230428.557,1251579.624,1273094.277,1294978.768,1317239.453,1339882.799,1362915.384,1386343.9,1410175.152,1434416.062,1459073.675,1484155.151,1509667.778,1535618.967,1562016.257,1588867.317,1616179.946,1643962.079,1672221.787,1700967.28,1730206.907,1759949.164,1790202.69,1820976.274,1852278.857,1884119.53,1916507.545,1949452.309,1982963.395,2017050.535,2051723.634
Sikkim,610577,618447.3375,626419.1237,634493.6662,642672.2896,650956.3354,659347.1625,667846.1475,676454.6843,685174.1852,694006.0804,702951.8188,712012.8678,721190.7136,730486.8619,739902.8376,749440.1852,759100.4691,768885.2742,778796.2054,788834.8885,799002.9702,809302.1185,819734.0228,830300.3943,841002.9664,851843.4946,862823.7573,873945.5555,885210.7137,896621.0798,908178.5255,919884.9467,931742.2637,943752.4215,955917.3902,968239.1654,980719.7682,993361.246,1006165.672
Andaman and Nicobar Islands,380581,383191.7857,385820.4813,388467.2098,391132.0949,393815.261,396516.8337,399236.9392,401975.7046,404733.2579,407509.7281,410305.2448,413119.9388,415953.9416,418807.3856,421680.4043,424573.1319,427485.7036,430418.2555,433370.9247,436343.8493,439337.1681,442351.021,445385.549,448440.8939,451517.1984,454614.6064,457733.2626,460873.3128,464034.9037,467218.1832,470423.2999,473650.4037,476899.6455,480171.1771,483465.1514,486781.7223,490121.0449,493483.2753,496868.5705
Dadra and Nagar Haveli,343709,362915.4589,383195.1748,404608.1211,427217.6229,451090.5437,476297.4833,502912.9867,531015.7644,560688.9253,592020.2224,625102.3124,660033.0297,696915.6754,735859.3233,776979.1423,820396.7367,866240.5064,914646.0259,965756.4458,1019722.916,1076705.033,1136871.31,1200399.679,1267478.013,1338304.684,1413089.15,1492052.571,1575428.469,1663463.412,1756417.747,1854566.371,1958199.54,2067623.73,2183162.544,2305157.667,2433969.878,2569980.114,2713590.603,2865226.046
Daman and Diu,243247,256323.9587,270103.9347,284624.7223,299926.1473,316050.177,333041.0345,350945.3206,369812.141,389693.2417,410643.1504,432719.3261,455982.3171,480495.9265,506327.3875,533547.5478,562231.064,592456.606,624307.0731,657869.8214,693236.903,730505.3189,769777.2848,811160.5117,854768.5008,900720.8554,949143.6086,1000169.569,1053938.685,1110598.429,1170304.2,1233219.754,1299517.648,1369379.717,1442997.57,1520573.12,1602319.131,1688459.807,1779231.406,1874882.887
Lakshadweep,64473,64879.1799,65287.91873,65699.23262,66113.13779,66529.65055,66948.78735,67370.56471,67794.99927,68222.10777,68651.90705,69084.41406,69519.64587,69957.61964,70398.35264,70841.86226,71288.166,71737.28144,72189.22631,72644.01844,73101.67576,73562.21631,74025.65828,74492.01992,74961.31965,75433.57596,75908.80749,76387.03298,76868.27129,77352.5414,77839.86241,78330.25354,78823.73414,79320.32366,79820.0417,80322.90796,80828.94228,81338.16462,81850.59506,82366.25381
