id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Mie,1857000,1855700.1,1854401.11,1853103.029,1851805.857,1850509.593,1849214.236,1847919.786,1846626.242,1845333.604,1844041.871,1842751.041,1841461.115,1840172.093,1838883.972,1837596.753,1836310.436,1835025.018,1833740.501,1832456.883,1831174.163,1829892.341,1828611.416,1827331.388,1826052.256,1824774.02,1823496.678,1822220.23,1820944.676,1819670.015,1818396.246,1817123.368,1815851.382,1814580.286,1813310.08,1812040.763,1810772.334,1809504.794,1808238.14,1806972.374,1805707.493,1804443.498,1803180.387,1801918.161,1800656.818,1799396.358,1798136.781,1796878.085,1795620.271,1794363.336,1793107.282
Shiga,1343000,1345954.6,1348915.7,1351883.315,1354857.458,1357838.144,1360825.388,1363819.204,1366819.606,1369826.61,1372840.228,1375860.477,1378887.37,1381920.922,1384961.148,1388008.062,1391061.68,1394122.016,1397189.084,1400262.9,1403343.479,1406430.834,1409524.982,1412625.937,1415733.714,1418848.328,1421969.795,1425098.128,1428233.344,1431375.457,1434524.483,1437680.437,1440843.334,1444013.19,1447190.019,1450373.837,1453564.659,1456762.501,1459967.379,1463179.307,1466398.302,1469624.378,1472857.551,1476097.838,1479345.253,1482599.813,1485861.532,1489130.428,1492406.515,1495689.809,1498980.327
Kyoto,2644000,2642942.4,2641885.223,2640828.469,2639772.138,2638716.229,2637660.742,2636605.678,2635551.036,2634496.815,2633443.017,2632389.639,2631336.683,2630284.149,2629232.035,2628180.342,2627129.07,2626078.219,2625027.787,2623977.776,2622928.185,2621879.014,2620830.262,2619781.93,2618734.017,2617686.524,2616639.449,2615592.793,2614546.556,2613500.738,2612455.337,2611410.355,2610365.791,2609321.645,2608277.916,2607234.605,2606191.711,2605149.234,2604107.175,2603065.532,2602024.306,2600983.496,2599943.102,2598903.125,2597863.564,2596824.418,2595785.689,2594747.374,2593709.475,2592671.992,2591634.923
Osaka,8805000,8809402.5,8813807.201,8818214.105,8822623.212,8827034.524,8831448.041,8835863.765,8840281.697,8844701.838,8849124.188,8853548.751,8857975.525,8862404.513,8866835.715,8871269.133,8875704.767,8880142.62,8884582.691,8889024.982,8893469.495,8897916.23,8902365.188,8906816.37,8911269.779,8915725.413,8920183.276,8924643.368,8929105.689,8933570.242,8938037.027,8942506.046,8946977.299,8951450.788,8955926.513,8960404.476,8964884.678,8969367.121,8973851.804,8978338.73,8982827.9,8987319.314,8991812.973,8996308.88,9000807.034,9005307.438,9009810.091,9014314.996,9018822.154,9023331.565,9027843.231
Hyogo,5551000,5550444.9,5549889.856,5549334.867,5548779.933,5548225.055,5547670.233,5547115.466,5546560.754,5546006.098,5545451.497,5544896.952,5544342.462,5543788.028,5543233.649,5542679.326,5542125.058,5541570.846,5541016.689,5540462.587,5539908.541,5539354.55,5538800.614,5538246.734,5537692.91,5537139.14,5536585.426,5536031.768,5535478.165,5534924.617,5534371.124,5533817.687,5533264.305,5532710.979,5532157.708,5531604.492,5531051.332,5530498.227,5529945.177,5529392.182,5528839.243,5528286.359,5527733.53,5527180.757,5526628.039,5526075.376,5525522.769,5524970.216,5524417.719,5523865.278,5523312.891
Nara,1443000,1440979.8,1438962.428,1436947.881,1434936.154,1432927.243,1430921.145,1428917.855,1426917.37,1424919.686,1422924.799,1420932.704,1418943.398,1416956.877,1414973.138,1412992.175,1411013.986,1409038.567,1407065.913,1405096.02,1403128.886,1401164.506,1399202.875,1397243.991,1395287.85,1393334.447,1391383.778,1389435.841,1387490.631,1385548.144,1383608.377,1381671.325,1379736.985,1377805.353,1375876.426,1373950.199,1372026.669,1370105.831,1368187.683,1366272.22,1364359.439,1362449.336,1360541.907,1358637.148,1356735.056,1354835.627,1352938.857,1351044.743,1349153.28,1347264.466,1345378.295
Wakayama,1070000,1066469,1062949.652,1059441.918,1055945.76,1052461.139,1048988.017,1045526.357,1042076.12,1038637.269,1035209.766,1031793.574,1028388.655,1024994.972,1021612.489,1018241.168,1014880.972,1011531.864,1008193.809,1004866.77,1001550.709,998245.5921,994951.3816,991668.0421,988395.5375,985133.8322,981882.8906,978642.6771,975413.1562,972194.2928,968986.0516,965788.3977,962601.296,959424.7117,956258.6101,953102.9567,949957.717,946822.8565,943698.3411,940584.1365,937480.2089,934386.5242,931303.0487,928229.7486,925166.5904,922113.5407,919070.566,916037.6331,913014.709,910001.7604,906998.7546
Tottori,613000,611161,609327.517,607499.5344,605677.0358,603860.0047,602048.4247,600242.2794,598441.5526,596646.228,594856.2893,593071.7204,591292.5052,589518.6277,587750.0718,585986.8216,584228.8612,582476.1746,580728.7461,578986.5598,577249.6001,575517.8513,573791.2978,572069.9239,570353.7141,568642.653,566936.725,565235.9148,563540.2071,561849.5865,560164.0377,558483.5456,556808.095,555137.6707,553472.2577,551811.8409,550156.4054,548505.9362,546860.4183,545219.8371,543584.1776,541953.425,540327.5648,538706.5821,537090.4623,535479.1909,533872.7534,532271.1351,530674.3217,529082.2987,527495.0518
Shimane,762000,759485.4,756979.0982,754481.0672,751991.2796,749509.7084,747036.3264,744571.1065,742114.0218,739665.0456,737224.1509,734791.3112,732366.4999,729949.6904,727540.8565,725139.9716,722747.0097,720361.9446,717984.7502,715615.4005,713253.8697,710900.1319,708554.1615,706215.9328,703885.4202,701562.5983,699247.4417,696939.9252,694640.0234,692347.7113,690062.9639,687785.7561,685516.0631,683253.8601,680999.1224,678751.8253,676511.9442,674279.4548,672054.3326,669836.5533,667626.0927,665422.9266,663227.0309,661038.3817,658856.9551,656682.7271,654515.6741,652355.7724,650202.9983,648057.3284,645918.7393
Okayama,1951000,1949829.4,1948659.502,1947490.307,1946321.812,1945154.019,1943986.927,1942820.535,1941654.842,1940489.85,1939325.556,1938161.96,1936999.063,1935836.864,1934675.362,1933514.556,1932354.448,1931195.035,1930036.318,1928878.296,1927720.969,1926564.337,1925408.398,1924253.153,1923098.601,1921944.742,1920791.575,1919639.1,1918487.317,1917336.224,1916185.823,1915036.111,1913887.089,1912738.757,1911591.114,1910444.159,1909297.893,1908152.314,1907007.423,1905863.218,1904719.7,1903576.868,1902434.722,1901293.261,1900152.485,1899012.394,1897872.987,1896734.263,1895596.222,1894458.864,1893322.189
